Título (Português);Instituição;Cidade Instituição;Empresa;Município;Local de Pesquisa;Grande Área do Conhecimento;Área do Conhecimento;Subárea do Conhecimento;Assuntos;
Aspectos clínicos e interações hospedeiro-microbiota em infecção com variantes do SARS-CoV-2 em hamsters;Universidade Estadual de Campinas (UNICAMP). Instituto de Biologia (IB);Campinas;;;Institut Pasteur de Lille;Ciências Biológicas;Imunologia;Imunologia Celular;Hamsters:SARS-CoV-2:Imunologia; 
Desenvolvimento de biomoléculas para a polinização dirigida do café, visando o aumento da produtividade e qualidade de grãos;;;JOAO MARCELO ROBAZZI BIGNELLI VALENTE AGUIAR 33617689850;Piracicaba;;Ciências Biológicas;Zoologia;Comportamento Animal;Cafeicultura:Café:Polinização:Polinizadores:Abelhas:Moléculas bioativas:Produtividade de grãos:Qualidade da produção; 
Estudo experimental sobre a caracterização não invasiva da fibrilação atrial;Ministério da Educação (Brasil). Universidade Federal do ABC (UFABC). Centro de Engenharia, Modelagem e Ciências Sociais Aplicadas (CECS);Santo André;;;;Engenharias;Engenharia Biomédica;Bioengenharia;Diagnóstico:Experimentação animal:Fibrilação atrial; 
Desenvolvimento de formulação dermocosmética orgânica, vegana e auto conservante para tratamento de disfunções de pele como acne e rosácea com minimização de reações indesejadas;Juliana Rodrigues Pegos;Campinas;;;;Ciências Biológicas;Farmacologia;;Rosácea; 
Desenvolvimento de biomoléculas para a polinização dirigida do café, visando o aumento da produtividade e qualidade de grãos;;;;;;Ciências Biológicas;Zoologia;Comportamento Animal;Cognição:Abelhas:Café:Polinização:Moléculas bioativas:Odores:Aroma:Mel:Métodos para melhoria da produtividade:Melhoria de qualidade:Produção de alimentos; 
Composta Fácil: biorreator para tratamento rápido e de baixo custo para resíduos orgânicos;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Biotecnologia:Resíduos orgânicos:Compostagem:Enzimas:Internet das coisas:Sensores; 
Estudo de expressão e atividade das catepsinas B, L e S e inibição por derivados de dipeptidil nitrilas usando linhagens celulares de adenocarcinoma pancreático;Universidade de São Paulo (USP). Instituto de Química de São Carlos (IQSC);São Carlos;;;;Ciências Exatas e da Terra;Química;;Bioquímica:Biologia celular:Antineoplásicos:Cisteína proteases:Inibidores enzimáticos:Catepsinas:Carcinoma ductal pancreático:Quimioterápicos; 
Produção de ácido hialurônico para uso terapêutico e cosmético por processo biotecnológico utilizando levedura Kluyveromyces lactis recombinante;;;;;;Ciências da Saúde;Farmácia;;Ácido hialurônico:Bioprocessos:Biotecnologia farmacêutica:Kluyveromyces:Moléculas bioativas:Cosméticos:Terapêutica; 
Análise comparativa dos genomas e transcriptomas de biótipos do fungo fitopatógeno do cacau, Moniliophthora perniciosa (Agaricales, Basidiomycota);Universidade Estadual de Campinas (UNICAMP). Instituto de Biologia (IB);Campinas;;;;Ciências Biológicas;Genética;Genética Molecular e de Microorganismos;Basidiomycota:Genômica:Integração de dados:Transcriptoma:Vassoura-de-bruxa:Biologia computacional:Bioinformática; 
Sistema para predição de complicações no pé em pacientes diabéticos utilizando aprendizado de máquina;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Aprendizado computacional:Diabetes mellitus:Diagnóstico por computador:Informática médica:Pé diabético; 
Estimação de parâmetros cosmológicos no projeto BINGO;Universidade de São Paulo (USP). Instituto de Física (IF);São Paulo;;;;Ciências Exatas e da Terra;Física;;Cosmologia física:Energia escura:Método de Monte Carlo:Radiotelescópios:Oscilações acústicas bariônicas:Hidrogênio; 
Desenvolvimento de uma plataforma analítica pioneira para caracterização de bioterapêuticos e biossimilares em Brasil;;;MS Soluções Analíticas Pesquisa e Consultoria Eireli;São Paulo;;Ciências da Saúde;Farmácia;Análise e Controle de Medicamentos;Biofarmacologia:Biofármacos:Tratamento farmacológico:Espectrometria de massas:Ressonância magnética nuclear:Anticorpos monoclonais; 
Solução de Internet das Coisas (IoT) para localização, rastreamento e monitoramento de uso em tempo real, de equipamentos médicos, para aplicações em ambientes laboratoriais e hospitalares;;;Nexxto Serviços em Tecnologia da Informação S/A;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Internet das coisas:Atenção à saúde:Sensores inteligentes:Equipamentos e provisões hospitalares:Administração hospitalar:Hospitais:Governança:Geolocalização:Rastreamento:Monitoramento; 
Diagnóstico pré-cirúrgico de nódulos tireoidianos com base no perfil de metilação de dna;;;Br4science Assessoria Técnica Científica Ltda;Botucatu;;Ciências da Saúde;Medicina;Anatomia Patológica e Patologia Clínica;Neoplasias da glândula tireoide:Diagnóstico:Metilação de DNA:Mutação:Sequenciamento:Oncologia; 
DESENVOLVIMENTO DE UMA ESTAÇÃO METEOROLÓGICA RADIOMÉTRICA PARA APLICAÇÃO EM PREVISÃO DO TEMPO DE CURTO PRAZO (Fase 2);;;TR - Tecnologia em Radares Ltda;São José dos Campos;;Ciências Exatas e da Terra;Geociências;Meteorologia;Radiometria; 
Avaliação do sequenciamento do genoma total para diagnóstico da tuberculose resistente em pacientes do estado de São Paulo;Secretaria da Saúde (São Paulo - Estado). Coordenadoria de Controle de Doenças (CCD). Instituto Adolfo Lutz (IAL);São Paulo;;;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Farmacorresistência bacteriana:Sequenciamento completo do genoma:Tratamento:Tuberculose; 
Sistema para predição de complicações no pé em pacientes diabéticos utilizando aprendizado de máquina;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Aprendizado computacional:Diabetes mellitus:Diagnóstico por computador:Informática médica:Pé diabético; 
Aperfeiçoamento de algoritmos para a gestão de risco no agronegócio e sua aplicabilidade comercial;;;;;;Ciências Sociais Aplicadas;Economia;Economias Agrária e dos Recursos Naturais;Aprendizado computacional:Big data:Algoritmos:Análise de risco:Agropecuária; 
Armadilhas automatizadas para detecção em tempo real de moscas-das-frutas (Anastrepha spp. e Ceratitis capitata);;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Estudos interdisciplinares:Mosca-das-frutas:Tephritidae:Ceratitis capitata:Manejo integrado de pragas:Monitoramento agrícola:Armadilhas:Simulação em tempo real; 
Centro de Pesquisa em Genômica Aplicada as Mudanças Climáticas;Universidade Estadual de Campinas (UNICAMP). Centro de Biologia Molecular e Engenharia Genética (CBMEG);Campinas;;;;Interdisciplinar;;;Mudança climática:Microbiota:Adaptação às mudanças climáticas:Biotecnologia vegetal:Genômica:Genética vegetal; 
Triagem e otimização funcional de moléculas atuantes sobre o receptor de ocitocina com foco em aplicações terapêuticas.;;;;;;Ciências Biológicas;Farmacologia;Farmacologia Bioquímica e Molecular;Antagonismo:Ocitocina:Transtornos mentais; 
Implementação de pipelines/workflows na nuvem para análises de bioinformática dos dados genômicos do Centro de Estudos do Genoma Humano e de Células-Tronco (CEGH-CEL);Universidade de São Paulo (USP). Instituto de Biociências (IB);São Paulo;;;;Interdisciplinar;;;Biologia computacional:Sequenciamento de nova geração:Computação em nuvem:Fluxo de trabalho:Banco de dados; 
Fenotipagem inteligente com aprendizado de máquina para personalização terapêutica em programa digital de melhoria do sono;;;;;;Ciências da Saúde;Saúde Coletiva;Saúde Pública;Apneia do sono:Aprendizado computacional:Insônia:Inteligência artificial:Terapia cognitivo-comportamental:Aprendizado de máquina; 
Efeitos do hidrogênio sobre o desempenho estrutural de ligas metálicas: integrando ciência e engenharia;Universidade de São Paulo (USP). Escola Politécnica (EP);São Paulo;;;;Engenharias;Engenharia Mecânica;Mecânica dos Sólidos;Mecânica da fratura:Caracterização estrutural:Integridade estrutural:Tubulações de alta pressão:Fragilização por hidrogênio:Tenacidade à fratura:Método dos elementos finitos; 
Desenvolvimento de aditivos híbridos utilizando nanopartículas para lubrificantes biodegradáveis de alta performance;;;MARCOS B GARCIA;São Bernardo do Campo;;Engenharias;Engenharia de Materiais e Metalúrgica;;Nanotecnologia:Tribologia:Materiais:Materiais nanoestruturados:Pesquisa e desenvolvimento:Lubrificantes; 
Formulação de uso tópico contendo exossomos derivados de células mesenquimais para o tratamento de feridas;;;In Situ Terapia Celular Ltda;Paulínia;;Ciências da Saúde;Medicina;;Medicina regenerativa:Células-tronco mesenquimais:Exossomos:Terapia baseada em transplante de células e tecidos:Vesículas extracelulares:Exantema; 
Detecção in vivo e não invasiva dos efeitos do uso de produtos sobre o ácido hialurônico na pele humana;;;Probes Inovação e Desenvolvimento Tecnológico Ltda. - ME;São José dos Campos;;Engenharias;Engenharia Biomédica;;Imuno-histoquímica:Espectroscopia Raman:Espectroscopia óptica:Ácido hialurônico:Pele; 
Sistema para predição de complicações no pé em pacientes diabéticos utilizando aprendizado de máquina;;;BIOO Artificial Intelligence em Tecnologia da Informação Ltda;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Aprendizado computacional:Diabetes mellitus:Diagnóstico por computador:Informática médica:Pé diabético:Complicações do diabetes; 
Sistema de conexão inteligente para economia circular e simbiose industrial utilizando inteligência computacional;;;Verdaz Gestão Sustentável e Consultoria Ambiental Ltda (Verdaz);São José do Rio Preto;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Aprendizado computacional:Economia circular:Inteligência artificial:Logística reversa:Computação em cluster:Simbiose; 
Projeto e desenvolvimento de protótipos de sensores de fibra óptica para detecção de nutrientes do solo e pH para aplicação na agricultura de precisão;;;Luxtec Sistemas Ópticos Ltda;Campinas;;Ciências Exatas e da Terra;Física;Física da Matéria Condensada;Agricultura de precisão:Nutrientes minerais do solo:Concentração de íons de hidrogênio:Fertilizantes NPK:Fósforo:Sensores:Fibra óptica; 
Investigação de metodologias educacionais construcionistas para criação de conteúdos e projetos para o ensino de matemática e ciências por meio de dispositivos IoT e ambiente virtual de aprendizagem com tutoria por machine learning;;;DG Cunha Ensino Educacional;São José do Rio Preto;;Ciências Humanas;Educação;Ensino-aprendizagem;Tecnologia educacional:Aprendizado computacional:Ambiente virtual de aprendizagem:Tecnologias digitais:Internet das coisas:Construcionismo social:Ensino de matemática:Ensino de ciências; 
Tecnologia nacional para produção de bioinseticida de tripla ação à base de baculovírus;;;;;;Ciências Agrárias;Agronomia;Fitossanidade;Algodão:Helicoverpa armigera:Milho:Produtos; 
Formulação de uso tópico contendo exossomos derivados de células mesenquimais para o tratamento de feridas;;;;;;Ciências da Saúde;Medicina;;Medicina regenerativa:Células-tronco mesenquimais:Vesículas extracelulares:Exossomos:Ferimentos e lesões:Cicatrização:Terapêutica:Terapia baseada em transplante de células e tecidos; 
Aplicação de coenzima Q10 nanoencapsulada como ingrediente pela indústria de alimentos: viabilidade tecnológica e bioacessibilidade do bioativo em iogurtes;;;;;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos;Indústria de alimentos:Encapsulação :Nanotecnologia:Bioacessibilidade:Ubiquinona:Iogurte; 
Investigação de metodologias educacionais construcionistas para criação de conteúdos e projetos para o ensino de Matemática e Ciências por meio de dispositivos IoT e ambiente virtual de aprendizagem com tutoria por machine learning;;;;;;Ciências Sociais Aplicadas;Administração;Administração de Empresas;Pesquisa de mercado:Ensino de matemática:Ensino de ciências:Métodos de ensino:Internet das coisas:Ambiente virtual de aprendizagem:Aprendizado computacional:Marketing:Parques tecnológicos:São José do Rio Preto (SP); 
Sistema para predição de complicações no pé em pacientes diabéticos utilizando aprendizado de máquina;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Metodologia e Técnicas da Computação;Informática médica:Algoritmos:Aprendizado computacional:Diagnóstico por computador:Diabetes mellitus:Pé diabético; 
Implementação de processos de bioinformática para análise de análise de sequenciamento de genoma completo e transcriptoma humanos;Universidade de São Paulo (USP). Instituto de Biociências (IB);São Paulo;;;;Ciências Biológicas;Genética;Genética Humana e Médica;Biologia computacional:Bioinformática; 
Investigação de metodologias educacionais construcionistas para criação de conteúdos e projetos para o ensino de Matemática e Ciências por meio de dispositivos IoT e ambiente virtual de aprendizagem com tutoria por machine learning;;;;;;Interdisciplinar;;;Tecnologia educacional:Métodos de ensino:Tomada de decisão:Ensino fundamental:Ensino de matemática:Ensino de ciências:Aprendizado computacional:Internet das coisas:Ambiente virtual de aprendizagem:Engenharia de hardware; 
Daoura: plataforma de insights urbanos para cidades inteligentes;;;;;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Cidades inteligentes:Gestão urbana:Aprendizado computacional:Aprendizagem profunda:Processamento de linguagem natural:Inteligência artificial:Plataforma (computação); 
Sistema de conexão inteligente para economia circular e simbiose industrial utilizando inteligência computacional;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Economia circular:Logística reversa:Aprendizado computacional:Inteligência artificial; 
Influência da classe de solo, palhada e precipitação pluvial na lixiviação do pyroxasulfone;Universidade Estadual Paulista (UNESP). Campus de Jaboticabal. Faculdade de Ciências Agrárias e Veterinárias (FCAV);Jaboticabal;;;;Ciências Agrárias;Agronomia;Fitossanidade;Matologia:Fitossanidade:Fitotoxicidade:Comportamento:Herbicidas:Percolação:Eficácia:Delineamento experimental:Análise de variância:Análise de regressão; 
Desenvolvimento de suplemento funcional proteico mineral de origem animal (insetos) para ração animal;;;;;;Ciências Agrárias;Zootecnia;Nutrição e Alimentação Animal;Insetos comestíveis:Prebióticos:Tilápia; 
Picsel: uma nova plataforma para proteger os produtores rurais contra intempéries climáticas via seguro agrícola: da cotação do seguro até a gestão dos sinistros;;;;;;Ciências Sociais Aplicadas;Comunicação;Relações Públicas e Propaganda;Marketing:Agrometeorologia:Gestão de riscos:Produtores rurais:Seguro agrícola:Agronegócio:Algodão:Café:Cana-de-açúcar:Plataforma (computação):Perdas agrícolas; 
QUEST - sistema de busca e agregação de informações baseado em técnicas Zero-Shot;;;Neuralmind Inteligência Artificial Ltda;Campinas;;Engenharias;Engenharia Elétrica;;Aprendizagem profunda:Processamento de linguagem natural:Aprendizado computacional:Recuperação da informação; 
Aplicação de coenzima Q10 nanoencapsulada como ingrediente pela indústria de alimentos: viabilidade tecnológica e bioacessibilidade do bioativo em iogurtes;;;Yosen Indústria e Comércio de Produtos para Saúde Ltda;Ribeirão Preto;;Ciências Agrárias;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos;Indústria de alimentos:Compostos bioativos:Bioacessibilidade:Ubiquinona:Encapsulação :Iogurte; 
Produto clareador dental à base de resíduo industrial do processamento de cogumelos;;;DAYSE ALEXIA DE CARVALHO DE BRITO 06612420561;Campinas;;Ciências da Saúde;Farmácia;;Agaricales:Cosmetologia:Dente:Higiene pessoal:Odontologia; 
Triagem e otimização funcional de moléculas atuantes sobre o receptor de ocitocina com foco em aplicações terapêuticas;;;Naiad Desenvolvimento Computacional de Fármacos Ltda;São Caetano do Sul;;Ciências Biológicas;Farmacologia;Farmacologia Bioquímica e Molecular;Desenvolvimento de fármacos:Transtornos mentais:Receptores de ocitocina:Receptores acoplados a proteínas G:Ocitocina; 
MIA: Sistema de inteligência artificial para previsão sub-sazonal de variáveis hidrometeorológicas no Brasil;;;Meteoia Datascience Ltda;São Paulo;;Ciências Exatas e da Terra;Geociências;Meteorologia;Hidrometeorologia:Previsão climatológica:Aprendizado computacional:Inteligência artificial:Redes neurais (computação); 
Picsel: uma nova plataforma para proteger os produtores rurais contra intempéries climáticas via seguro agrícola: da cotação do seguro até a gestão dos sinistros;;;;;;Interdisciplinar;;;Agrometeorologia:Gestão de riscos:Produtores rurais:Seguro agrícola:Agronegócio:Algodão:Café:Cana-de-açúcar:Perdas agrícolas:Plataforma (computação); 
Avaliação da biodegradação de DQO, amônia (NH4) e cor por consórcio bacteriano selecionado de lixiviado de aterro;;;;;;Ciências Biológicas;Microbiologia;Microbiologia Aplicada;Biodegradação:Amônia:Cor:Crescimento bacteriano:Lixiviação:Aterros sanitários; 
MIA: sistema de inteligência artificial para previsão sub-sazonal de variáveis hidrometeorológicas no Brasil;;;;;;Ciências Exatas e da Terra;Geociências;Meteorologia;Inteligência artificial:Aprendizado computacional:Hidrometeorologia:Previsão climatológica:Previsão hidrológica:Previsão do tempo:Chuva:Clima:Brasil; 
Detecção in vivo e não invasiva dos efeitos do uso de produtos sobre o ácido hialurônico na pele humana;;;;;;Engenharias;Engenharia Biomédica;;Espectroscopia óptica:Ácido hialurônico:Imuno-histoquímica:In vivo:Pele:Envelhecimento da pele:Prevenção:Cosméticos; 
Desenvolvimento de equipamento de blade coating para deposição de filmes finos;;;;;;Interdisciplinar;;;Engenharia:Equipamentos e provisões:Filmes finos:Deposição de filmes finos:Interação homem-máquina; 
Desenvolvimento de aditivos híbridos utilizando nanopartículas para lubrificantes biodegradáveis de alta performance;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;;Materiais:Materiais nanoestruturados:Pesquisa e desenvolvimento:Tribologia:Nanotecnologia; 
Sensor portátil para medição instantânea do traço do concreto fresco;;;Csense Tecnologia Ltda;São Carlos;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Construção civil:Tecnologia do concreto:Concreto:Impedância elétrica:Instrumentação:Equipamentos de medição:Dispositivos portáteis; 
Biorreator combinado anaeróbio-aeróbio de leito fixo e aeração intermitente (BRC) para remoção de matéria orgânica e nitrogênio no tratamento de esgoto sanitário;;;Bio Proj Tecnologia Ambiental Ltda;São Carlos;;Engenharias;Engenharia Sanitária;Tratamentos de Águas de Abastecimento e Residuárias;Tratamento de esgotos sanitários:Esgotos sanitários:Aeração intermitente:Nitrificação:Desnitrificação:Reatores biológicos:Leito fixo:Matéria orgânica:Nitrogênio; 
Mapeamento, identificação e guiamento em tempo   real para deficientes visuais - ambiente interno fase 2;;;TIH - Tecnologias de Interação Humana Ltda;São José dos Campos;;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo;Tecnologia assistiva:Visão computacional:Desenho universal:Transtornos da visão:Interface usuário-computador; 
Concepção do PepROBÔ titã: sistema instrutivo de liberação trifásica de ativos;;;Plateinnove Biotechnology Pesquisas Ltda;Piracicaba;;Ciências Biológicas;Biologia Geral;;Biomimética:Fibrina:Hidrogéis:Peptídeos:Plaquetas sanguíneas; 
Soluções biológicas regenerativas animal-free produzidas por bioimpressão 3D;;;Bio.Inn Ltda;São Paulo;;Interdisciplinar;;;Bioengenharia:Bioimpressão tridimensional:Impressão tridimensional:Colágeno:Matriz extracelular:Sustentabilidade; 
Atualização e otimização do teste molecular TOT (teste de origem tumoral) para tumores metastáticos de origem primária desconhecida por meio de abordagens multi-ômicas;;;ONKOS DIAGNOSTICOS MOLECULARES LTDA (FILIAL);Ribeirão Preto;;Ciências da Saúde;Medicina;Anatomia Patológica e Patologia Clínica;Oncologia:Neoplasias:Técnicas de diagnóstico molecular:Sequenciamento de nova geração:Mutação:Prognóstico:RNA; 
Mapeamento, identificação e guiamento em tempo real para deficientes visuais:  ambiente interno fase 2;;;;;;Ciências Sociais Aplicadas;Arquitetura e Urbanismo;Tecnologia de Arquitetura e Urbanismo;Tecnologia assistiva:Desenho universal:Sistemas de tempo-real:Pessoas com deficiência visual:Percepção:Interface usuário-computador:Smartphone:Aplicativos móveis; 
Atualização e otimização do teste molecular TOT (Teste de Origem Tumoral) para tumores metastáticos de origem primária desconhecida por meio de abordagens multi-ômicas;;;;;;Ciências da Saúde;Medicina;Anatomia Patológica e Patologia Clínica;Oncologia molecular:Neoplasias primárias desconhecidas:Metástase neoplásica:Mutação:Sequenciamento de nova geração:Prognóstico:RNA:Análises multiômicas:Técnicas de diagnóstico molecular; 
Concepção do PepROBÔ Titã: sistema instrutivo de liberação trifásica de ativos;;;;;;Ciências Biológicas;Biologia Geral;;Hidrogéis:Fibrina:Biopolímeros:Peptídeos:Biomimética:Plaquetas sanguíneas:Liberação controlada de fármacos; 
IAssist: assistente médico;;;;;;Ciências Exatas e da Terra;Ciência da Computação;;Inteligência artificial:Aprendizado computacional:Aplicativos móveis:Diagnóstico:Oncologia:Oncologistas; 
Desenvolvimento de candidatos a material de referência certificado multielementar em matrizes ambientais;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Química ambiental:Certificação de qualidade:Controle da qualidade:Metrologia:Qualidade do solo:Qualidade da água:Sedimentos; 
Certificação Brazil Beef Quality: padronização de carnes bovinas para palatabilidade;;;;;;Ciências Agrárias;Zootecnia;;Produtos agropecuários:Carne bovina:Qualidade da carne:Palatabilidade:Análise sensorial de alimentos:Certificação de qualidade; 
Certificação Brazil Beef Quality: padronização de carnes bovinas para palatabilidade;;;;;;Ciências Agrárias;Zootecnia;;Produtos agropecuários:Carne bovina:Qualidade da carne:Palatabilidade:Análise sensorial de alimentos:Certificação de qualidade; 
Composta Fácil: biorreator para tratamento rápido e de baixo custo para resíduos orgânicos;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Biotecnologia:Resíduos orgânicos:Compostagem:Tratamento de resíduos:Reatores biológicos:Enzimas:Internet das coisas; 
Clarice.ai: uma inteligência linguística de auxílio à escrita de não ficção baseada na web;;;;;;Linguística, Letras e Artes;Linguística;;Processamento de linguagem natural:Ferramentas de auxílio à escrita:Inteligência artificial:Escrita; 
Clarice.ai: uma inteligência linguística de auxílio à escrita de não ficção baseada na web;;;;;;Linguística, Letras e Artes;Linguística;;Processamento de linguagem natural:Ferramentas de auxílio à escrita:Inteligência artificial:Escrita; 
Complexos biológicos em ação, in vitro e in silício (Explorando Big-Data em criomicroscopia eletrônica);Ministério da Ciência, Tecnologia e Inovações (Brasil). Centro Nacional de Pesquisa em Energia e Materiais (CNPEM);Campinas;;;;Ciências Biológicas;Bioquímica;Química de Macromoléculas;Biologia estrutural:Espectroscopia resolvida no tempo:Big data; 
Matéria prima para fabricação de produtos cerâmicos via MIP usando ligantes orgânicos solúveis em água;;;Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Cravinhos;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Materiais cerâmicos:Alumina:Ligantes:Moldagem por injeção:Processos de fabricação; 
Cadeia fria mais inteligente;;;Reciclapac Soluções para Embalagens Ltda;São Paulo;;Ciências Exatas e da Terra;Ciência da Computação;Sistemas de Computação;Desenvolvimento de fármacos:Fármacos:Vacinas:Logística:Big data:Internet das coisas:Computação em nuvem:Indústria 4.0; 
Avaliação do sequenciamento do genoma total para diagnóstico da tuberculose resistente em pacientes do estado de São Paulo;Secretaria da Saúde (São Paulo - Estado). Coordenadoria de Controle de Doenças (CCD). Instituto Adolfo Lutz (IAL);São Paulo;;;;Ciências da Saúde;Saúde Coletiva;Saúde Pública;Análise de sequência de DNA:Tuberculose:Diagnóstico:Resistência microbiana a medicamentos:Mycobacterium tuberculosis; 
Desenvolvimento de candidatos a material de referência certificado multielementar em matrizes ambientais;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Química ambiental:Certificação de qualidade:Controle da qualidade:Metrologia:Qualidade do solo:Qualidade da água:Sedimentos; 
Composta Fácil: biorreator para tratamento rápido e de baixo custo para resíduos orgânicos;;;;;;Engenharias;Engenharia Sanitária;Saneamento Ambiental;Biotecnologia:Resíduos orgânicos:Compostagem:Tratamento de resíduos:Reatores biológicos:Enzimas:Internet das coisas; 
Desenvolvimento de equipamento de blade coating para deposição de filmes finos;;;;;;Interdisciplinar;;;Deposição de filmes finos:Biomateriais:Nanotecnologia; 
Sensor portátil para medição instantânea do traço do concreto fresco;;;;;;Engenharias;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação;Instrumentação:Sensores:Dispositivos portáteis:Impedância elétrica:Concreto:Propriedades elétricas; 
Cosméticos personalizados sob medida: do diagnóstico ao tratamento;;;;;;Engenharias;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos;Cosméticos:Dermocosméticos:Preparações para cabelo:Diagnóstico; 
Desenvolvimento de equipamento de blade coating para deposição de filmes finos;;;;;;Interdisciplinar;;;Filmes finos:Engenharia:Deposição de filmes finos:Indústria de equipamentos e provisões:Desenvolvimento de produtos:Perovskita:Biomateriais:Fármacos; 
Atualização e otimização do teste molecular TOT (Teste de Origem Tumoral) para tumores metastáticos de origem primária desconhecida por meio de abordagens multi-ômicas;;;;;;Ciências da Saúde;Medicina;Anatomia Patológica e Patologia Clínica;Oncologia molecular:Neoplasias primárias desconhecidas:Metástase neoplásica:Mutação:Sequenciamento de nova geração:Prognóstico:RNA:Análises multiômicas:Técnicas de diagnóstico molecular; 
Impacto de Bacillus subtilis (cepa UD1022) mutante para produção de EPS (UD1022-EPS) na estruturação do microbioma rizosférico de tomateiros em um gradiente de estresse hídrico;Ministério da Agricultura, Pecuária e Abastecimento (Brasil). Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA). Embrapa Meio-Ambiente;Jaguariúna;;;University of Delaware (UD);Ciências Agrárias;Agronomia;Ciência do Solo;Bacillus subtilis; 
Fenotipagem inteligente com aprendizado de máquina para personalização terapêutica em programa digital de melhoria do sono;;;VIGILANTES DO SONO QUALIDADE DE VIDA E TECNOLOGIA LTDA;São Paulo;;Ciências da Saúde;Saúde Coletiva;Saúde Pública;Técnicas e procedimentos diagnósticos:Terapia cognitivo-comportamental:Apneia do sono:Insônia:Aprendizado computacional:Inteligência artificial; 
