Empresa;Área do Conhecimento;Subárea do Conhecimento
Nano Ink Pesquisa e Desenvolvimento em Bioquímica Ltda;Química;Química Orgânica
Acacio Gonçalves Netto;Agronomia;Fitotecnia
Osteovita Biotecnologia Eireli;Saúde Coletiva;Saúde Pública
Bio Insumos e Diagnóstico Ltda;Microbiologia;Microbiologia Aplicada
BOVCONTROL LTDA;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Eccaplan Consultoria em Desenvolvimento Sustentável Ltda. - ME;Engenharia Sanitária;Saneamento Ambiental
Provider Controls - Instrumentação e Automação Ltda;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Labtrix Indústria de Bancadas Técnicas Ltda;Engenharia Agrícola;Máquinas e Implementos Agrícolas
Aredes Equipamentos Hospitalares Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Da Natureza Produtos Biodegradáveis Ltda;Engenharia Agrícola;Engenharia de Processamento de Produtos Agrícolas
Brazilian Nano Feed Pesquisa e Desenvolvimento de Aditivos Ltda;Zootecnia;Nutrição e Alimentação Animal
Geotecno Indústria e Comércio de Sistemas e Processos Automatizados Ltda. - ME;Engenharia Mecânica;Processos de Fabricação
Rubian Xtract Serviços Ltda;Nutrição;Bioquímica da Nutrição
Rodrigues e Amorim Serviços Aquícolas Ltda;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
S R Engenharia e Sistemas Ltda;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
DRSC Soluções Tecnológicas Inteligentes Ltda;Ciência da Computação;Sistemas de Computação
Ideelab Biotecnologia Ltda;Agronomia;Fitossanidade
Itech Soluções Ltda. - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Matriz Brasileira de Risco Agro Ltda;Economia;Economias Agrária e dos Recursos Naturais
Gustavo Trindade Valio;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
No Tube Yes Color Inovação em Cosméticos Ltda;Engenharia Mecânica;Projetos de Máquinas
Meteoia Datascience Ltda;Geociências;Meteorologia
Medicina Nuclear de Campinas Ltda;Medicina;Radiologia Médica
Vert Pesquisa, Desenv. Experimental Ciências Físicas Naturais Ltda;Química;Química Analítica
Silvia Mobille Awoyama;Engenharia Biomédica;Engenharia Médica
Tovem Biotech Pesquisas e Análises Técnicas Ltda;Medicina Veterinária;Medicina Veterinária Preventiva
Teccer Indústria e Comércio de Produtos Cerâmicos Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Sardrones Aplicações e Serviços Agrícolas - Eireli;Engenharia Aeroespacial;Aerodinâmica
Pet Salut Comércio e Indústria de Alimentos para Animais Ltda;Ciência e Tecnologia de Alimentos;Engenharia de Alimentos
Zebradvances Pesquisa e Consultoria em Rastreio Toxicológico Ltda;Farmacologia;Toxicologia
ModelWorks Engenharia Ltda. - ME;Engenharia Mecânica;Projetos de Máquinas
Edenizia Tavares Chaves Lucas;Engenharia Química;Processos Industriais de Engenharia Química
Metaura Prestação de Serviços de Pesquisa e Desenvolvimento Ltda;Química;Química Inorgânica
Nazaré & Petrônio Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais Ltda;Química;Química Orgânica
Horuseye Tech Engenharia de Sistemas Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
LUCA - Ciência para Educar Ltda. - ME;Educação;Ensino-aprendizagem
Savelivez Tecnologia para a Saúde Ltda. (Filial);Saúde Coletiva;Saúde Pública
Onkos Diagnósticos Moleculares Ltda. - ME;Medicina;Anatomia Patológica e Patologia Clínica
Presense - Pesquisa e Desenvolvimento Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Sonata Solutions Tecnologia Ltda;Engenharia Biomédica;Engenharia Médica
Ideelab Biotecnologia Ltda;Agronomia;Fitossanidade
Alexandre Greluk Szykman;Ciência da Computação;Metodologia e Técnicas da Computação
Vet Up Educação Ltda;Administração;Administração de Empresas
Lace Serviços de Engenharia e Representação Ltda;Engenharia Aeroespacial;Sistemas Aeroespaciais
Renata Fabiane Jorge Tiossi;Farmácia;Farmacotecnia
Metaquantion P&D Soluções em Biologia Molecular Ltda;Agronomia;Fitossanidade
TechMiP Análises e Soluções Inteligentes Ltda;Saúde Coletiva;Saúde Pública
Yugue Assessores S/S Ltda;Farmácia;Farmacotecnia
Otavio Mesquita de Sousa;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Jonas de Castro Gitz;Medicina;Cirurgia
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Biotox Análises Ambientais Ltda. - ME;Ecologia;Ecologia Aplicada
RN Consultoria em Tecnologia da Informação Ltda;Ciência da Computação;Sistemas de Computação
Ideasfarm Produção e Eventos Eireli;Educação;Ensino-aprendizagem
Elisangela Soares Gomes Pepe;Microbiologia;Microbiologia Aplicada
Sthenos Inovações em Saúde Ltda;Engenharia Química;Tecnologia Química
Soudap Soldas Sanitárias Ltda. - EPP;Engenharia de Materiais e Metalúrgica;Instalações e Equipamentos Metalúrgicos
IDGeo Inteligência em Dados Geográficos Ltda;Geociências;Geografia Física
R4D Biotech Pesquisa e Desenvolvimento em Saúde Ltda;Medicina Veterinária;Clínica e Cirurgia Animal
RK Indústria e Comércio Ltda;Ciência da Computação;Sistemas de Computação
Emergeagro Serviços Agrícolas Ltda;Agronomia;Fitotecnia
Renato Farinacio;Agronomia;Fitossanidade
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Technological Solutions Integrated Ltda;Recursos Florestais e Engenharia Florestal;Tecnologia e Utilização de Produtos Florestais
Carolina de Paula Campos;Biofísica;Radiologia e Fotobiologia
Genotyping Laboratório de Biotecnologia Ltda (Genotyping);Genética;Genética Humana e Médica
Pamela Oliveira de Souza de Azevedo;Microbiologia;Microbiologia Aplicada
PDT Pharma Indústria e Comércio de Produtos Farmacêuticos Ltda. - EPP;Saúde Coletiva;Saúde Pública
Decoy Tecnologia em Controle de Pragas S/A;Ecologia;Ecologia Aplicada
Naphabio Pesquisas em Nanobiomateriais Ltda;Engenharia de Materiais e Metalúrgica;Materiais Não-metálicos
Nanoradiopharmaceuticals Pesquisa e Desenvolvimento Ltda;Engenharia Nuclear;Aplicações de Radioisótopos
Nanochemtech Pesquisa e Desenvolvimento em Biomateriais Ltda;Saúde Coletiva;Medicina Preventiva
A55 Consultoria em Crédito Ltda;Ciência da Computação;Metodologia e Técnicas da Computação
Sustentsim Soluções para Resíduos Agroindustriais Ltda;Ciência e Tecnologia de Alimentos;Ciência de Alimentos
Jefferson Aparecido da Costa Administrativo;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Eco Biotech Tecnologia em Manutenção Ltda. - ME;Microbiologia;Microbiologia Aplicada
Sureale Soluções em Tecnologia da Informação Ltda. - ME;Ciência da Computação;Sistemas de Computação
Itech Soluções Ltda. - ME;Ciência da Computação;Sistemas de Computação
Doutor Cefaleia Serviços Médicos e de Telemedicina Eireli;Medicina;Clínica Médica
Carolina Cinto de Moraes;Agronomia;Fitotecnia
RP Martins - Consultoria Desenvolvimento e Pesquisa;Odontologia;Ortodontia
Caronetas Caronas Inteligentes Ltda. - ME;Engenharia de Transportes;Veículos e Equipamentos de Controle
Ibire Soluções Empresariais Ltda;Recursos Florestais e Engenharia Florestal;Tecnologia e Utilização de Produtos Florestais
BMR Pesquisa Desenvolvimento Experimental Ciências Físicas Naturais;Engenharia Biomédica;Engenharia Médica
Regina Helena Geribello Priolli;Agronomia;Fitotecnia
Mira Pesquisa e Desenvolvimento Ltda. - ME;Ciência e Tecnologia de Alimentos;Tecnologia de Alimentos
Bioinfood Soluções em Biotecnologia Ltda;Genética;Genética Molecular e de Microorganismos
J&F Engenharia, Comércio e Serviços Eletromecânicos Ltda. - ME;Engenharia Elétrica;Eletrônica Industrial, Sistemas e Controles Eletrônicos
Kerno Geo Soluções Ltda;Botânica;Botânica Aplicada
Foxwater Água e Saneamento Ltda;Microbiologia;Microbiologia Aplicada
Infopreços S/A;Probabilidade e Estatística;Probabilidade e Estatística Aplicadas
VT Beef Vitrine Tecnológica Agropecuária Ltda;Zootecnia;Produção Animal
Biolinker Biologia Sintética Eireli;Bioquímica;Biologia Molecular
T de Moraes Arquitetura;Arquitetura e Urbanismo;Projeto de Arquitetura e Urbanismo
Peixe do Mar Aquicultura Marinha Sustentável Ltda. - ME;Recursos Pesqueiros e Engenharia de Pesca;Aquicultura
Pin People Tecnologia Aplicada a Pessoas Ltda;Administração;Administração de Empresas
Funcional Mikron Indústria, Comércio e Serviços de Produtos Alimentícios Ltda;Engenharia Biomédica;Bioengenharia
Developnow Projetos de Software e Eletrônica Ltda. - ME;Engenharia Elétrica;Medidas Elétricas, Magnéticas e Eletrônicas, Instrumentação
Internacional Científica Ltda;Medicina;Saúde Materno-infantil
Cellco Biotec do Brasil Ltda;Saúde Coletiva;Saúde Pública
Sofia Nascimento dos Santos;Engenharia Nuclear;Aplicações de Radioisótopos
Neguebe Química e Biológica Ltda;Parasitologia;Protozoologia de Parasitos
Visiona Tecnologia Espacial S/A;Recursos Florestais e Engenharia Florestal;Tecnologia e Utilização de Produtos Florestais
Living Out Laboratório de Testes Celulares In Vitro Ltda;Farmácia;Análise Toxicológica
