Empresa;Municipio
Rainer Grassmann;Campo Limpo Paulista
Dungtech Biofertilizantes Ltda;Santa Barbara D'Oeste
Voce Recicla do Brasil Tecnologia Ltda;Pindamonhangaba
Ecomol Consultoria e Projetos Ltda. - ME;Amparo
Inspectral Solucões Inovadoras em Tecnologia da Informacao Espacial;Presidente Prudente
Cromai Tecnologias Agricolas Ltda;Sao Paulo
Optarium Comercio de Artigos de otica Eireli - ME;Campinas
Cromai Tecnologias Agricolas Ltda;Sao Paulo
Genobiomas Biotecnologia Ltda;Sao Paulo
Eletroquimica Sao Carlos Ltda;Sao Carlos
Oseas de Paula Ribeiro - ME;Sao Paulo
Comptest Engenharia Ltda;Sao Carlos
Developnow Projetos de Software e Eletronica Ltda. - ME;Sao Carlos
Andre Almeida Silva;Sao Paulo
Skinzymes Biotecnologia Ltda;Sao Paulo
Bioptamers Pesquisa e Desenvolvimento Ltda;Sao Paulo
Inanocare Ltda. - ME;Ribeirao Preto
Souza P&D Farmaceutico Ltda;Ribeirao Preto
Terpenia Desenvolvimento de Bioinsumos Ltda;Sao Paulo
Fullface Biometric Solutions Participacões S/A;Sao Paulo
Cyberphysics Company Tecnologia em Atividade Fisica Ltda. - Me;Sao Paulo
Alex Julio Trinca;Jundiai
Plantem Tecnologia em Plantas e Monitoramento Ambiental Ltda;Sao Jose dos Campos
Farmresult Prestacao de Servicos Agricolas Ltda;Piracicaba
Procoding Tecnologia para Rastreabilidade Industrial Ltda;Sao Jose dos Campos
MLA Suprimentos Medicos Ltda;Jundiai
CarbonUP Consultoria, Pesquisa e Desenvolvimento de Materiais Ltda;Sao Paulo
Licia Carla da Silva Costa;Campinas
Benfitbox Solucões Tecnologicas Ltda;Sao Paulo
Dipsie Engenharia e Software S/A;Vinhedo
Faz Verde Solucões Ambientais Ltda;Sorocaba
Progenix Pesquisa e Artigos para Laboratorio Ltda;Ribeirao Preto
Versis Tecnologia Ltda;Campinas
Imunotera Solucões Terapeuticas Ltda. - EPP;Sao Paulo
Wisersoft Tecnologia em Sistemas Ltda. - ME;Jacarei
Ecotec Solucões em Automacao Sustentavel Ltda;Sao Paulo
Essado de Morais Ltda. - ME;Franca
Dynamine Consultoria em Engenharia Ltda;Sao Paulo
Vetra Pesquisa e Desenvolvimento de Produtos Cerâmicos de Alta Tecnologia Ltda;Sao Carlos
BRTech Solucões Tecnologicas Ltda;Sao Carlos
Vixphy - Solucões de Computacao em Nuvem Ltda;Vitoria
Reload Health Devices Ltda;Ribeirao Preto
BTZ Tecnologia Ltda;Ribeirao Preto
Valora Consultoria em Gestao Empresarial Ltda;Sao Paulo
Clarity Healthcare Desenvolvimento de Software Ltda;Jundiai
Reactormodel Tecnologia Ltda;Sao Paulo
Mesosilica Consultoria Quimica Ltda;Santana de Parnaiba
Pluricell Biotech Pesquisa e Desenvolvimento Ltda. - ME;Sao Paulo
ACRM Inovacões Tecnologicas Ltda;Indaiatuba
Singularity Extraction Technologies Servicos Ltda;Paulinia
Victor Vision Indústria, Comercio, Importacao e Exportacao de Equipamentos Medicos Odontologicos Ltda;Sao Carlos
Ravenna Indústria e Comercio de Cosmeticos Ltda. - ME;Bauru
Labxon Software e Tecnologia Ltda;Sao Carlos
EPL Informatica Ltda;Sao Paulo
3TCOM Servicos em Redes de Telecomunicacões Ltda;Araraquara
Invent Biotecnologia Ltda. - ME;Ribeirao Preto
SleepUp Tecnologia em Saúde Ltda;Sao Caetano do Sul
Protolab Laboratorio de Propriedades Termofisicas e Prototipacao Ltda;Sorocaba
Itera Inovacao e Desenvolvimento Tecnologico Ltda. - ME;Sao Carlos
H2O Company Gestao em Sustentabilidade Ltda. - ME;Sao Paulo
Sapra Landauer Servico de Assessoria e Protecao Radiologica Ltda;Sao Carlos
Sensetech Instrumentacao e Sistemas Ltda;Sao Carlos
Lablift Ltda;Santo Andre
Fexmedia Indústria e Comercio de Equipamentos e Tecnologia Ltda;Sao Paulo
Fabio Neves dos Santos;Campinas
Lume Tecnologia Ltda;Sao Jose dos Campos
Mastrangelo Ferreira e Ribeiro Pesquisa e Desenvolvimento Ltda;Botucatu
Verum Brasil Comercio Alimenticio Ltda;Botucatu
TIH - Tecnologias de Interacao Humana Ltda;Sao Jose dos Campos
Marzieh Kadivar;Pirassununga
Cor Sync Desenvolvimento de Sistemas Ltda;Sao Paulo
Spin Consultoria Cervejeira Ltda;Sao Jose do Rio Preto
Santa Martha Jardins Ltda. - ME;Ribeirao Preto
Biotechno Science Farmaceutica;Sao Paulo
Shizu Pesquisa e Desenvolvimento em Medicina Ltda;Sao Paulo
Flex IC Indústria Microeletronica Ltda;Sorocaba
NTT Data Brasil Consultoria em TI & Solucões Ltda;Sao Paulo
Marcelo Victor Pires Sousa Desenvolvimento Tecnologico Fotomedicina - ME;Sao Paulo
NFM Chemical Tecnology Ltda;Sao Paulo
Bio.Inn Ltda;Sao Paulo
Yellow Engenharia e Consultoria Ltda;Pindamonhangaba
Agrobotz Tecnologia e Servicos Ltda;Sao Paulo
Deltalys Biotechnology Produtos Farmaceuticos Ltda;Sao Paulo
Isabelle Leite Bayona Perez;Botucatu
Immunodot Indústria e Pesquisa de Produtos para Diagnostico Ltda. - ME;Jaboticabal
Poligene Comercio e Servicos Ltda. - ME;Rio Claro
BIOO Artificial Intelligence em Tecnologia da Informacao Ltda;Sao Paulo
4tree Agroflorestal Ltda;Piracicaba
IAssist Desenvolvimento de Programas Ltda;Sao Paulo
Neuralmind Inteligencia Artificial Ltda;Campinas
Safe Saúde Animal Ltda;Jaboticabal
Harpia Health Solutions Ltda;Sao Jose dos Campos
Adroit Robotics Sistemas Inteligentes, Comercio de Equipamentos para Automacao Industrial e Comercial, Consultoria e Servicos de Engenharia Ltda;Sao Paulo
Metamorphosis Biotechnology Pesquisas Cientificas Eireli;Sao Paulo
Victor Takashi Hayashi Tecnologia da Informacao Ltda;Santo Andre
Audax Electronics Ltda;Sao Bernardo do Campo
Futuro Florestal Ltda;Garca
InCeres Desenvolvimento de Software e Processamento de Dados S/A;Rio das Pedras
Allagi Engenharia Ltda. - EPP;Sao Paulo
Neogenys Diagnostico Molecular Ltda;Ribeirao Preto
Metal Chek do Brasil Indústria e Comercio Ltda;Braganca Paulista
Agroplanner Tecnologia, Planejamento e Gestao Agropecuaria Ltda;Pirassununga
LLF Agrometeorologia, Solucões e Assessorias Ltda;Sao Jose dos Campos
Mao na Mata - Manejo e Solucões Ambientais Ltda;Jundiai
Cassio Ramos Aquicultura e Comercio - ME;Sao Paulo
Solve Biotechnology Ltda. - ME;Sao Carlos
N de Araujo Sellin Desenvolvimento de Sistemas;Serra
Smart Drones Servicos e Consultoria em Cartografia Ltda;Sao Paulo
Acosta Aeroespaco Engenharia e Servicos Especializados Ltda;Sao Jose dos Campos
Magnitud Desenvolvimento de Talentos Ltda;Sao Paulo
Innovation Technology Ltda;Sao Paulo
AJT Biotecnologia Ltda. - ME;Sao Jose do Rio Preto
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
Centro de Preservacao e Adaptacao de Membros de Sao Paulo Comercio, Importacao e Exportacao Ltda;Sao Paulo
Acta Visio Desenvolvimento em Visao Computacional Ltda;Campinas
Smart Yeast - Pesquisa e Desenvolvimento Ltda;Piracicaba
Connecting Blocks Consultoria Ltda;Sao Paulo
Probes Inovacao e Desenvolvimento Tecnologico Ltda. - ME;Sao Jose dos Campos
Genosel Desenvolvimento Experimental em Ciencias Fisicas e Naturais;Jaboticabal
TagmaVisions Treinamentos Digitais Ltda;Ribeirao Preto
Karina Lucas da Silva Brandao;Campinas
Paulo Daniel Leite Pesquisa e Desenvolvimento;Botucatu
Afinko Solucões em Polimeros Ltda;Sao Carlos
Natcrom Solucões Sustentaveis Ltda;Araraquara
Kander Servicos Online e Intermediacao de Educacao e Conteúdo Ltda;Sao Paulo
Juan Harold Sosa Arnao;Ribeirao Preto
Orion Solucões em Gestao Ltda. - EPP;Santana de Parnaiba
B A Lima Caracterizacao de Meios Filtrantes Ltda;Sao Carlos
Biodiversita Servicos de Apoio Agricola Ltda. - ME;Jaguariúna
Bioprocess Improvement Consultoria e Pesquisas em Bioprocessos Ltda;Campinas
Farmacore Biotecnologia Ltda (FARMACORE);Sao Paulo
Techduto Indústria e Comercio de Maquinas e Artefatos de Plasticos Ltda;Sao Jose dos Campos
Result Negocios em Desenvolvimento Tecnologico, Contact Center Cobranca Digital, Marketing e Consultoria;Sao Paulo
Insilicall Softwares para P&D Ltda;Sao Paulo
SMBR Technology Ltda;Botucatu
Thayla Morandi Ridolfi de Carvalho Curi;Campinas
Cuidados Artemis Ltda;Limeira
Tech - Inovacões Tecnologicas para a Agropecuaria Ltda;Piracicaba
Eleve Pesquisa e Desenvolvimento Ltda;Ribeirao Preto
Orbi Servicos de Internet Eireli;Sao Paulo
Avita Produtos Quimicos Farmaceuticos Ltda;Ribeirao Preto
R&R NovaBio Pesquisa e Desenvolvimento em Ciencias Naturais Ltda;Campinas
Fit Comercio, Importacao e Exportacao de Maquinas e Equipamentos Odonto-Medicos Hospitalares e Laboratoriais Ltda;Sao Carlos
Universitas Solucões Estudantis Spe Ltda;Sao Paulo
In Situ Terapia Celular Ltda;Paulinia
Nano Ink Pesquisa e Desenvolvimento em Bioquimica Ltda;Sao Jose dos Campos
Acacio Goncalves Netto;Santa Barbara D'Oeste
Osteovita Biotecnologia Eireli;Campinas
Bio Insumos e Diagnostico Ltda;Sao Paulo
Floe Indústria, Comercio e Importacao de Equipamentos para Saúde Ltda;Sao Paulo
Kosmoscience Consultoria e Assessoria Tecnica em Cosmeticos Ltda (KosmoScience);Valinhos
Treevia Servicos de Engenharia Ltda. - ME;Sao Jose dos Campos
Guajava Projeto Pesquisa e Desenvolvimento Ltda;Sao Paulo
BOVCONTROL LTDA;Sao Paulo
Eccaplan Consultoria em Desenvolvimento Sustentavel Ltda. - ME;Sao Paulo
Provider Controls - Instrumentacao e Automacao Ltda;Sao Paulo
Labtrix Indústria de Bancadas Tecnicas Ltda;Itatiba
Aredes Equipamentos Hospitalares Ltda;Sao Jose dos Campos
Da Natureza Produtos Biodegradaveis Ltda;Sao Paulo
Brazilian Nano Feed Pesquisa e Desenvolvimento de Aditivos Ltda;Santo Andre
Geotecno Indústria e Comercio de Sistemas e Processos Automatizados Ltda. - ME;Santa Barbara D'Oeste
NKF Solucões Tecnologicas Ltda;Sao Paulo
Rubian Xtract Servicos Ltda;Campinas
Rodrigues e Amorim Servicos Aquicolas Ltda;Jaboticabal
Rodrigo Aznar Mendes;Ribeirao Preto
Decode Solucões em Tecnologia da Informacao Ltda;Vinhedo
S R Engenharia e Sistemas Ltda;Sao Jose dos Campos
Dynamine Consultoria em Engenharia Ltda;Sao Paulo
DRSC Solucões Tecnologicas Inteligentes Ltda;Sao Paulo
Ideelab Biotecnologia Ltda;Piracicaba
Itech Solucões Ltda. - ME;Campinas
Matriz Brasileira de Risco Agro Ltda;Piracicaba
Gustavo Trindade Valio;Sao Carlos
No Tube Yes Color Inovacao em Cosmeticos Ltda;Barueri
Meteoia Datascience Ltda;Sao Paulo
Tramppo Comercio e Reciclagem de Produtos Industriais Ltda. - ME;Sao Paulo
Medicina Nuclear de Campinas Ltda;Campinas
Agririsk Solucões em Gerenciamento de Risco Ltda;Piracicaba
Vert Pesquisa, Desenv. Experimental Ciencias Fisicas Naturais Ltda;Sao Paulo
Silvia Mobille Awoyama;Pindamonhangaba
Tovem Biotech Pesquisas e Analises Tecnicas Ltda;Sao Paulo
Teccer Indústria e Comercio de Produtos Cerâmicos Ltda;Cravinhos
Sardrones Aplicacões e Servicos Agricolas - Eireli;Ribeirao Preto
Confiance Gestao Ltda;Piracicaba
Pet Salut Comercio e Indústria de Alimentos para Animais Ltda;Barueri
Clarice Inteligencia Artificial Ltda;Sao Paulo
Newsun Energy Brazil S/A;Franca
Zebradvances Pesquisa e Consultoria em Rastreio Toxicologico Ltda;Sao Carlos
ModelWorks Engenharia Ltda. - ME;Sao Carlos
Edenizia Tavares Chaves Lucas;Sao Paulo
Metaura Prestacao de Servicos de Pesquisa e Desenvolvimento Ltda;Sao Paulo
Nazare & Petronio Pesquisa e Desenvolvimento Experimental em Ciencias Fisicas e Naturais Ltda;Araraquara
Horuseye Tech Engenharia de Sistemas Ltda;Sao Jose dos Campos
Biosmart Nanotechnology Ltda;Araraquara
Tissuelabs Pesquisa e Desenvolvimento Ltda;Sao Paulo
LUCA - Ciencia para Educar Ltda. - ME;Sao Paulo
Savelivez Tecnologia para a Saúde Ltda. (Filial);Sao Paulo
Onkos Diagnosticos Moleculares Ltda. - ME;Ribeirao Preto
Presense - Pesquisa e Desenvolvimento Ltda;Araraquara
Milton Yukio Godoy Saito;Osasco
Sonata Solutions Tecnologia Ltda;Sao Paulo
Ideelab Biotecnologia Ltda;Piracicaba
Alexandre Greluk Szykman;Sao Caetano do Sul
Barreto & Hill Ltda;Valinhos
AFH Solucões Tecnologicas Ltda;Campinas
Vet Up Educacao Ltda;Brodowski
Juliana Rodrigues Pegos;Campinas
Brazil Beef Quality Ltda. - ME;Piracicaba
Lace Servicos de Engenharia e Representacao Ltda;Sao Jose dos Campos
Renata Fabiane Jorge Tiossi;Sao Carlos
Tissuelabs Pesquisa e Desenvolvimento Ltda;Sao Paulo
Metaquantion P&D Solucões em Biologia Molecular Ltda;Piracicaba
TechMiP Analises e Solucões Inteligentes Ltda;Araraquara
Yugue Assessores S/S Ltda;Cotia
Otavio Mesquita de Sousa;Ubatuba
Biobreyer Pesquisa e Desenvolvimento Cientifico Ltda;Santos
Jonas de Castro Gitz;Sao Paulo
Roentgen Tecnologia Ltda;Sarapui
Turbonius - Ensino Pesquisa e Desenvolvimento Ltda;Campinas
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Sao Caetano do Sul
Biotox Analises Ambientais Ltda. - ME;Sao Carlos
Autocoat Equipamentos e Processos de Deposicao Ltda;Campinas
RN Consultoria em Tecnologia da Informacao Ltda;Sao Paulo
Ideasfarm Producao e Eventos Eireli;Sao Paulo
Selaz Indústria e Comercio de Aparelhos Biomecânicos Ltda (SELAZ);Sao Jose dos Campos
Elisangela Soares Gomes Pepe;Jaboticabal
Sthenos Inovacões em Saúde Ltda;Ribeirao Preto
NEURUX - Solucões em Neurociencia e Tecnologia Ltda;Sao Paulo
Soudap Soldas Sanitarias Ltda. - EPP;Araraquara
IDGeo Inteligencia em Dados Geograficos Ltda;Piracicaba
R4D Biotech Pesquisa e Desenvolvimento em Saúde Ltda;Botucatu
Geomeridium Servicos de Inteligencia Geografica Ltda;Campinas
Mirscience Therapeutics Servicos de Pesquisa e Desenvolvimento Ltda;Sao Paulo
RK Indústria e Comercio Ltda;Mogi das Cruzes
Nderma Pesquisa e Desenvolvimento Ltda;Sao Carlos
Emergeagro Servicos Agricolas Ltda;Botucatu
JTR Consultoria Ltda;Sao Paulo
Renato Farinacio;Jaboticabal
Extremus Smart Surface - Tratamentos de Superficie Ltda;Sao Carlos
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda;Sao Caetano do Sul
Technological Solutions Integrated Ltda;Piracicaba
Carolina de Paula Campos;Sao Carlos
Genotyping Laboratorio de Biotecnologia Ltda (Genotyping);Botucatu
Innolution Sistemas de Informatica Ltda;Ribeirao Preto
Pamela Oliveira de Souza de Azevedo;Sao Paulo
PDT Pharma Indústria e Comercio de Produtos Farmaceuticos Ltda. - EPP;Cravinhos
Decoy Tecnologia em Controle de Pragas S/A;Ribeirao Preto
Naphabio Pesquisas em Nanobiomateriais Ltda;Avare
Nanoradiopharmaceuticals Pesquisa e Desenvolvimento Ltda;Sao Paulo
Nanochemtech Pesquisa e Desenvolvimento em Biomateriais Ltda;Sao Jose do Rio Preto
A55 Consultoria em Credito Ltda;Sao Paulo
Sustentsim Solucões para Residuos Agroindustriais Ltda;Piracicaba
Jefferson Aparecido da Costa Administrativo;Campinas
Eco Biotech Tecnologia em Manutencao Ltda. - ME;Ribeirao Preto
Tissuelabs Pesquisa e Desenvolvimento Ltda;Sao Paulo
Sureale Solucões em Tecnologia da Informacao Ltda. - ME;Sao Carlos
Itech Solucões Ltda. - ME;Campinas
Doutor Cefaleia Servicos Medicos e de Telemedicina Eireli;Sao Paulo
Cosnatech Pesquisa, Desenvolvimento, Inovacao em Ativos Cosmeticos Naturais Ltda;Campinas
Carolina Cinto de Moraes;Cerquilho
RP Martins - Consultoria Desenvolvimento e Pesquisa;Araraquara
Caronetas Caronas Inteligentes Ltda. - ME;Sao Paulo
Biolinker Biologia Sintetica Eireli;Sao Paulo
Inspectral Solucões Inovadoras em Tecnologia da Informacao Espacial;Presidente Prudente
Ibire Solucões Empresariais Ltda;Sao Paulo
BMR Pesquisa Desenvolvimento Experimental Ciencias Fisicas Naturais;Araraquara
Regina Helena Geribello Priolli;Piracicaba
Mira Pesquisa e Desenvolvimento Ltda. - ME;Sao Carlos
Bioinfood Solucões em Biotecnologia Ltda;Campinas
J&F Engenharia, Comercio e Servicos Eletromecânicos Ltda. - ME;Campinas
Kerno Geo Solucões Ltda;Sao Paulo
Foxwater agua e Saneamento Ltda;Santo Antonio de Posse
Infoprecos S/A;Sao Paulo
VT Beef Vitrine Tecnologica Agropecuaria Ltda;Birigüi
Biolinker Biologia Sintetica Eireli;Sao Paulo
T de Moraes Arquitetura;Sao Paulo
Peixe do Mar Aquicultura Marinha Sustentavel Ltda. - ME;Campinas
Pin People Tecnologia Aplicada a Pessoas Ltda;Sao Paulo
Funcional Mikron Indústria, Comercio e Servicos de Produtos Alimenticios Ltda;Valinhos
Infra Solar Instalacao e Manutencao Eletrica Eireli;Santana de Parnaiba
Developnow Projetos de Software e Eletronica Ltda. - ME;Sao Carlos
Internacional Cientifica Ltda;Sao Jose dos Campos
Cellco Biotec do Brasil Ltda;Sao Carlos
Sofia Nascimento dos Santos;Sao Paulo
Neguebe Quimica e Biologica Ltda;Sao Paulo
Visiona Tecnologia Espacial S/A;Sao Jose dos Campos
Living Out Laboratorio de Testes Celulares In Vitro Ltda;Ribeirao Preto
Cropman Inovacao Tecnologica e Agricultura Digital Ltda;Campinas
Skyhigh Pesquisa e Desenvolvimento Ltda;Sao Jose dos Campos
Autoscience Technologies Projetos e Consultoria Ltda;Sao Paulo
Engecer Ltda;Sao Carlos
NGS Solucões Genomicas Eireli - ME;Piracicaba
Muove Brasil Ltda;Sao Paulo
Nchemi Engenharia de Materiais Ltda;Sao Carlos
NCB Sistemas Embarcados Ltda;Sao Jose dos Campos
Hunter Consulting Group Ltda. - EPP;Campinas
Revbio - Servicos em Sanidade e Nutricao Vegetal Ltda;Paulinia
Agertek Indústria e Comercio de Estruturas Eireli - ME;Sao Paulo
Smart Consultoria Agronomica e Servicos Agricolas Ltda;Piracicaba
Cozo Tecnologia Ltda;Sao Paulo
Decoy Tecnologia em Controle de Pragas S/A;Ribeirao Preto
Mariza Monteiro;Piracicaba
Atriatec - Pesquisas e Desenvolvimento Eireli;Sertaozinho
ODM Consultoria Empresarial Ltda;Sao Carlos
Probrain Solucões Neurotecnologicas para Saúde e Educacao Ltda;Sorocaba
Iacit Solucões Tecnologicas Ltda (IACIT);Sao Jose dos Campos
Gobots Solucões Inteligentes Ltda;Santo Andre
FJV da Silva Tecnologia Informacao Ltda;Sorocaba
Equatorial Sistemas S/A;Sao Jose dos Campos
Smart Consultoria Agronomica e Servicos Agricolas Ltda;Piracicaba
Timpel S/A;Sao Paulo
Lumminy Consultoria e Servicos em Informatica Ltda;Indaiatuba
Setup Automacao e Controle de Processos Ltda;Campinas
